hotel,district,season,sentiment,aspect,count
9 Ночей-Норт,Московский,Зима,NEUTRAL,Номер,2
9 Ночей-Норт,Московский,Зима,NEUTRAL,Расположение,1
9 Ночей-Норт,Московский,Зима,NEUTRAL,Сервис,1
9 Ночей-Норт,Московский,Зима,NEUTRAL,Удобства,2
9 Ночей-Норт,Московский,Зима,POSITIVE,Номер,2
9 Ночей-Норт,Московский,Зима,POSITIVE,Чистота,1
9 Ночей-Норт,Московский,Лето,NEGATIVE,Удобства,1
9 Ночей-Норт,Московский,Лето,NEUTRAL,Номер,3
9 Ночей-Норт,Московский,Лето,NEUTRAL,Расположение,2
9 Ночей-Норт,Московский,Лето,NEUTRAL,Сервис,1
9 Ночей-Норт,Московский,Лето,NEUTRAL,Удобства,2
9 Ночей-Норт,Московский,Лето,POSITIVE,Номер,7
9 Ночей-Норт,Московский,Лето,POSITIVE,Расположение,2
9 Ночей-Норт,Московский,Лето,POSITIVE,Сервис,1
9 Ночей-Норт,Московский,Лето,POSITIVE,Удобства,1
9 Ночей-Норт,Московский,Лето,POSITIVE,Чистота,1
9 Ночей-Норт,Московский,Осень,NEGATIVE,Сервис,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,Номер,7
9 Ночей-Норт,Московский,Осень,NEUTRAL,Расположение,2
9 Ночей-Норт,Московский,Осень,NEUTRAL,Сервис,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,Удобства,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,Чистота,3
9 Ночей-Норт,Московский,Осень,POSITIVE,Номер,15
9 Ночей-Норт,Московский,Осень,POSITIVE,Расположение,12
9 Ночей-Норт,Московский,Осень,POSITIVE,Сервис,3
9 Ночей-Норт,Московский,Осень,POSITIVE,Удобства,6
9 Ночей-Норт,Московский,Осень,POSITIVE,Чистота,4
Attashe,Московский,Весна,NEUTRAL,Номер,1
Attashe,Московский,Весна,NEUTRAL,Расположение,1
Attashe,Московский,Весна,NEUTRAL,Чистота,1
Attashe,Московский,Весна,POSITIVE,Номер,4
Attashe,Московский,Весна,POSITIVE,Расположение,1
Attashe,Московский,Весна,POSITIVE,Сервис,3
Attashe,Московский,Весна,POSITIVE,Цена,1
Attashe,Московский,Весна,POSITIVE,Чистота,3
Attashe,Московский,Зима,POSITIVE,Номер,4
Attashe,Московский,Зима,POSITIVE,Расположение,2
Attashe,Московский,Зима,POSITIVE,Сервис,1
Attashe,Московский,Зима,POSITIVE,Удобства,1
Attashe,Московский,Зима,POSITIVE,Чистота,1
Attashe,Московский,Лето,NEUTRAL,Номер,3
Attashe,Московский,Лето,NEUTRAL,Расположение,1
Attashe,Московский,Лето,NEUTRAL,Удобства,3
Attashe,Московский,Лето,NEUTRAL,Чистота,2
Attashe,Московский,Лето,POSITIVE,Номер,17
Attashe,Московский,Лето,POSITIVE,Расположение,11
Attashe,Московский,Лето,POSITIVE,Сервис,7
Attashe,Московский,Лето,POSITIVE,Удобства,5
Attashe,Московский,Лето,POSITIVE,Чистота,9
Attashe,Московский,Осень,NEUTRAL,Номер,1
Attashe,Московский,Осень,POSITIVE,Номер,8
Attashe,Московский,Осень,POSITIVE,Расположение,4
Attashe,Московский,Осень,POSITIVE,Сервис,2
Attashe,Московский,Осень,POSITIVE,Удобства,4
Attashe,Московский,Осень,POSITIVE,Чистота,7
Azimut Отель Нижний Новгород,Канавинский,Зима,NEGATIVE,Номер,2
Azimut Отель Нижний Новгород,Канавинский,Зима,NEGATIVE,Расположение,2
Azimut Отель Нижний Новгород,Канавинский,Зима,NEGATIVE,Сервис,1
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,Номер,5
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,Расположение,4
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,Удобства,1
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,Чистота,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,Номер,2
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,Расположение,3
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,Сервис,2
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,Удобства,2
Azimut Отель Нижний Новгород,Канавинский,Лето,NEGATIVE,Номер,3
Azimut Отель Нижний Новгород,Канавинский,Лето,NEGATIVE,Удобства,1
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,Номер,5
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,Расположение,4
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,Сервис,1
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,Удобства,2
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,Цена,2
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,Номер,9
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,Расположение,6
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,Сервис,4
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,Удобства,6
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,Чистота,3
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,Номер,4
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,Расположение,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,Сервис,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,Удобства,4
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,Цена,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,Номер,3
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,Расположение,3
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,Цена,2
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,Чистота,1
Azimut Отель Нижний Новгород,Канавинский,Осень,POSITIVE,Номер,9
Azimut Отель Нижний Новгород,Канавинский,Осень,POSITIVE,Расположение,7
Azimut Отель Нижний Новгород,Канавинский,Осень,POSITIVE,Сервис,6
Azimut Отель Нижний Новгород,Канавинский,Осень,POSITIVE,Удобства,8
Azimut Отель Нижний Новгород,Канавинский,Осень,POSITIVE,Чистота,2
Baker Street,Московский,Весна,NEGATIVE,Номер,1
Baker Street,Московский,Весна,NEGATIVE,Расположение,1
Baker Street,Московский,Весна,NEGATIVE,Чистота,1
Baker Street,Московский,Весна,NEUTRAL,Номер,1
Baker Street,Московский,Весна,POSITIVE,Удобства,1
Baker Street,Московский,Весна,POSITIVE,Цена,1
Baker Street,Московский,Зима,NEGATIVE,Номер,1
Baker Street,Московский,Зима,NEGATIVE,Чистота,1
Baker Street,Московский,Зима,POSITIVE,Номер,2
Baker Street,Московский,Зима,POSITIVE,Удобства,1
Baker Street,Московский,Лето,NEGATIVE,Номер,7
Baker Street,Московский,Лето,NEGATIVE,Расположение,5
Baker Street,Московский,Лето,NEGATIVE,Удобства,3
Baker Street,Московский,Лето,NEGATIVE,Чистота,5
Baker Street,Московский,Лето,NEUTRAL,Номер,10
Baker Street,Московский,Лето,NEUTRAL,Расположение,9
Baker Street,Московский,Лето,NEUTRAL,Сервис,4
Baker Street,Московский,Лето,NEUTRAL,Удобства,7
Baker Street,Московский,Лето,NEUTRAL,Цена,3
Baker Street,Московский,Лето,NEUTRAL,Чистота,4
Baker Street,Московский,Лето,POSITIVE,Номер,6
Baker Street,Московский,Лето,POSITIVE,Расположение,5
Baker Street,Московский,Лето,POSITIVE,Сервис,5
Baker Street,Московский,Лето,POSITIVE,Удобства,4
Baker Street,Московский,Лето,POSITIVE,Чистота,2
Baker Street,Московский,Осень,NEGATIVE,Номер,4
Baker Street,Московский,Осень,NEGATIVE,Сервис,1
Baker Street,Московский,Осень,NEGATIVE,Удобства,2
Baker Street,Московский,Осень,NEGATIVE,Цена,2
Baker Street,Московский,Осень,NEGATIVE,Чистота,3
Baker Street,Московский,Осень,NEUTRAL,Номер,5
Baker Street,Московский,Осень,NEUTRAL,Расположение,4
Baker Street,Московский,Осень,NEUTRAL,Сервис,2
Baker Street,Московский,Осень,NEUTRAL,Удобства,2
Baker Street,Московский,Осень,NEUTRAL,Чистота,1
Baker Street,Московский,Осень,POSITIVE,Номер,3
Baker Street,Московский,Осень,POSITIVE,Расположение,2
Baker Street,Московский,Осень,POSITIVE,Сервис,3
Baker Street,Московский,Осень,POSITIVE,Удобства,2
Baker Street,Московский,Осень,POSITIVE,Цена,1
Baker Street,Московский,Осень,POSITIVE,Чистота,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEGATIVE,Номер,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEUTRAL,Номер,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEUTRAL,Расположение,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEUTRAL,Сервис,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,NEUTRAL,Удобства,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Номер,5
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Расположение,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Сервис,5
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Удобства,5
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,POSITIVE,Чистота,4
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Номер,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Расположение,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Сервис,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Удобства,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,NEUTRAL,Чистота,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Номер,9
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Расположение,4
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Сервис,4
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Удобства,11
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Цена,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Лето,POSITIVE,Чистота,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEGATIVE,Номер,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEGATIVE,Расположение,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEGATIVE,Сервис,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEGATIVE,Удобства,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEGATIVE,Чистота,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Номер,4
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Расположение,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Сервис,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Удобства,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,NEUTRAL,Чистота,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Номер,12
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Расположение,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Сервис,6
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Удобства,10
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Цена,1
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,POSITIVE,Чистота,3
DailyRent-NN Квартира в ЖК Маленькая страна,Советский,Весна,POSITIVE,Номер,1
DailyRent-NN Квартира в ЖК Маленькая страна,Советский,Весна,POSITIVE,Чистота,1
Golden House,Московский,Весна,POSITIVE,Номер,3
Golden House,Московский,Весна,POSITIVE,Сервис,5
Golden House,Московский,Весна,POSITIVE,Чистота,3
Golden House,Московский,Зима,NEGATIVE,Цена,1
Golden House,Московский,Зима,NEUTRAL,Номер,3
Golden House,Московский,Зима,NEUTRAL,Сервис,1
Golden House,Московский,Зима,NEUTRAL,Удобства,1
Golden House,Московский,Зима,NEUTRAL,Чистота,2
Golden House,Московский,Зима,POSITIVE,Номер,3
Golden House,Московский,Зима,POSITIVE,Сервис,3
Golden House,Московский,Зима,POSITIVE,Удобства,1
Golden House,Московский,Зима,POSITIVE,Цена,1
Golden House,Московский,Зима,POSITIVE,Чистота,2
Golden House,Московский,Лето,NEGATIVE,Номер,3
Golden House,Московский,Лето,NEGATIVE,Сервис,1
Golden House,Московский,Лето,NEGATIVE,Удобства,1
Golden House,Московский,Лето,NEGATIVE,Цена,3
Golden House,Московский,Лето,NEGATIVE,Чистота,2
Golden House,Московский,Лето,NEUTRAL,Номер,2
Golden House,Московский,Лето,NEUTRAL,Расположение,1
Golden House,Московский,Лето,NEUTRAL,Сервис,1
Golden House,Московский,Лето,NEUTRAL,Удобства,1
Golden House,Московский,Лето,NEUTRAL,Чистота,3
Golden House,Московский,Лето,POSITIVE,Номер,6
Golden House,Московский,Лето,POSITIVE,Сервис,11
Golden House,Московский,Лето,POSITIVE,Удобства,7
Golden House,Московский,Лето,POSITIVE,Цена,3
Golden House,Московский,Лето,POSITIVE,Чистота,3
Golden House,Московский,Осень,NEGATIVE,Номер,1
Golden House,Московский,Осень,NEGATIVE,Цена,1
Golden House,Московский,Осень,NEUTRAL,Номер,1
Golden House,Московский,Осень,NEUTRAL,Удобства,2
Golden House,Московский,Осень,NEUTRAL,Чистота,2
Golden House,Московский,Осень,POSITIVE,Номер,2
Golden House,Московский,Осень,POSITIVE,Сервис,2
Golden House,Московский,Осень,POSITIVE,Удобства,3
Golden House,Московский,Осень,POSITIVE,Чистота,1
Gorky,Советский,Весна,NEUTRAL,Номер,3
Gorky,Советский,Весна,NEUTRAL,Расположение,1
Gorky,Советский,Весна,NEUTRAL,Сервис,2
Gorky,Советский,Весна,NEUTRAL,Удобства,1
Gorky,Советский,Весна,NEUTRAL,Цена,1
Gorky,Советский,Весна,NEUTRAL,Чистота,1
Gorky,Советский,Весна,POSITIVE,Номер,5
Gorky,Советский,Весна,POSITIVE,Расположение,1
Gorky,Советский,Весна,POSITIVE,Сервис,4
Gorky,Советский,Весна,POSITIVE,Удобства,1
Gorky,Советский,Весна,POSITIVE,Цена,2
Gorky,Советский,Зима,NEGATIVE,Чистота,1
Gorky,Советский,Зима,NEUTRAL,Номер,2
Gorky,Советский,Зима,NEUTRAL,Расположение,1
Gorky,Советский,Зима,NEUTRAL,Сервис,2
Gorky,Советский,Зима,POSITIVE,Номер,7
Gorky,Советский,Зима,POSITIVE,Расположение,4
Gorky,Советский,Зима,POSITIVE,Сервис,3
Gorky,Советский,Зима,POSITIVE,Цена,1
Gorky,Советский,Зима,POSITIVE,Чистота,5
Gorky,Советский,Лето,NEGATIVE,Номер,1
Gorky,Советский,Лето,NEGATIVE,Сервис,1
Gorky,Советский,Лето,NEGATIVE,Чистота,1
Gorky,Советский,Лето,NEUTRAL,Номер,3
Gorky,Советский,Лето,NEUTRAL,Расположение,3
Gorky,Советский,Лето,NEUTRAL,Сервис,1
Gorky,Советский,Лето,NEUTRAL,Удобства,2
Gorky,Советский,Лето,NEUTRAL,Чистота,2
Gorky,Советский,Лето,POSITIVE,Номер,9
Gorky,Советский,Лето,POSITIVE,Расположение,2
Gorky,Советский,Лето,POSITIVE,Сервис,6
Gorky,Советский,Лето,POSITIVE,Удобства,2
Gorky,Советский,Лето,POSITIVE,Чистота,7
Gorky,Советский,Осень,NEGATIVE,Номер,2
Gorky,Советский,Осень,NEUTRAL,Номер,6
Gorky,Советский,Осень,NEUTRAL,Расположение,2
Gorky,Советский,Осень,NEUTRAL,Сервис,3
Gorky,Советский,Осень,NEUTRAL,Удобства,1
Gorky,Советский,Осень,NEUTRAL,Цена,2
Gorky,Советский,Осень,NEUTRAL,Чистота,3
Gorky,Советский,Осень,POSITIVE,Номер,5
Gorky,Советский,Осень,POSITIVE,Расположение,2
Gorky,Советский,Осень,POSITIVE,Сервис,2
Gorky,Советский,Осень,POSITIVE,Цена,1
Gorky,Советский,Осень,POSITIVE,Чистота,2
Green Tower Homes,Советский,Осень,POSITIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEGATIVE,Номер,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEGATIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEGATIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Номер,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Расположение,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Сервис,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Удобства,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,NEUTRAL,Чистота,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Номер,6
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Сервис,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Удобства,5
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Цена,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,POSITIVE,Чистота,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Номер,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Удобства,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Цена,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEGATIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Номер,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Расположение,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Сервис,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Удобства,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,NEUTRAL,Цена,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Номер,6
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Расположение,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Сервис,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Удобства,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,POSITIVE,Чистота,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEGATIVE,Номер,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEGATIVE,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Номер,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Сервис,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Удобства,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,NEUTRAL,Чистота,1
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Номер,12
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Расположение,6
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Сервис,5
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Удобства,12
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Цена,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,POSITIVE,Чистота,2
HomeHotel,Ленинский,Весна,NEUTRAL,Расположение,1
HomeHotel,Ленинский,Весна,POSITIVE,Расположение,1
HomeHotel,Ленинский,Весна,POSITIVE,Чистота,1
HomeHotel,Ленинский,Лето,NEUTRAL,Расположение,1
HomeHotel,Ленинский,Лето,NEUTRAL,Удобства,1
HomeHotel,Ленинский,Лето,POSITIVE,Чистота,1
HomeHotel,Ленинский,Осень,POSITIVE,Номер,4
HomeHotel,Ленинский,Осень,POSITIVE,Расположение,2
HomeHotel,Ленинский,Осень,POSITIVE,Сервис,2
HomeHotel,Ленинский,Осень,POSITIVE,Цена,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Номер,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Расположение,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Сервис,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Удобства,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Цена,1
HomeHotel Бетанкура 29,Нижегородский,Лето,NEUTRAL,Чистота,1
HomeHotel Бетанкура 29,Нижегородский,Лето,POSITIVE,Расположение,3
HomeHotel Бетанкура 29,Нижегородский,Лето,POSITIVE,Удобства,1
HomeHotel Бетанкура 29,Нижегородский,Лето,POSITIVE,Чистота,1
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Номер,2
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Расположение,2
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Сервис,1
HomeHotel Бетанкура 29,Нижегородский,Осень,POSITIVE,Чистота,1
HomeHotel на Акимова 22Б,Советский,Зима,NEUTRAL,Цена,1
HomeHotel на Акимова 22Б,Советский,Осень,POSITIVE,Номер,3
HomeHotel на Акимова 22Б,Советский,Осень,POSITIVE,Расположение,1
HomeHotel на Акимова 22Б,Советский,Осень,POSITIVE,Сервис,2
HomeHotel на Акимова 22Б,Советский,Осень,POSITIVE,Цена,1
HomeHotel на Акимова 22Б,Советский,Осень,POSITIVE,Чистота,1
Les&Park,Приокский,Весна,NEUTRAL,Номер,1
Les&Park,Приокский,Весна,POSITIVE,Номер,2
Les&Park,Приокский,Весна,POSITIVE,Расположение,2
Les&Park,Приокский,Весна,POSITIVE,Сервис,1
Les&Park,Приокский,Весна,POSITIVE,Удобства,1
Les&Park,Приокский,Весна,POSITIVE,Чистота,2
Les&Park,Приокский,Зима,NEUTRAL,Номер,1
Les&Park,Приокский,Зима,NEUTRAL,Сервис,1
Les&Park,Приокский,Лето,NEGATIVE,Номер,4
Les&Park,Приокский,Лето,NEGATIVE,Расположение,2
Les&Park,Приокский,Лето,NEGATIVE,Сервис,1
Les&Park,Приокский,Лето,NEGATIVE,Удобства,1
Les&Park,Приокский,Лето,NEGATIVE,Цена,1
Les&Park,Приокский,Лето,NEUTRAL,Номер,6
Les&Park,Приокский,Лето,NEUTRAL,Расположение,4
Les&Park,Приокский,Лето,NEUTRAL,Сервис,3
Les&Park,Приокский,Лето,NEUTRAL,Удобства,5
Les&Park,Приокский,Лето,NEUTRAL,Цена,1
Les&Park,Приокский,Лето,NEUTRAL,Чистота,1
Les&Park,Приокский,Лето,POSITIVE,Номер,10
Les&Park,Приокский,Лето,POSITIVE,Расположение,5
Les&Park,Приокский,Лето,POSITIVE,Сервис,3
Les&Park,Приокский,Лето,POSITIVE,Удобства,1
Les&Park,Приокский,Лето,POSITIVE,Чистота,4
Les&Park,Приокский,Осень,NEGATIVE,Номер,4
Les&Park,Приокский,Осень,NEGATIVE,Расположение,1
Les&Park,Приокский,Осень,NEGATIVE,Сервис,1
Les&Park,Приокский,Осень,NEGATIVE,Чистота,3
Les&Park,Приокский,Осень,NEUTRAL,Номер,2
Les&Park,Приокский,Осень,NEUTRAL,Расположение,1
Les&Park,Приокский,Осень,NEUTRAL,Чистота,1
Les&Park,Приокский,Осень,POSITIVE,Номер,6
Les&Park,Приокский,Осень,POSITIVE,Расположение,4
Les&Park,Приокский,Осень,POSITIVE,Сервис,4
Les&Park,Приокский,Осень,POSITIVE,Удобства,1
Les&Park,Приокский,Осень,POSITIVE,Цена,1
Les&Park,Приокский,Осень,POSITIVE,Чистота,4
Marins Нижний Новгород,Канавинский,Зима,NEGATIVE,Номер,1
Marins Нижний Новгород,Канавинский,Зима,NEGATIVE,Удобства,1
Marins Нижний Новгород,Канавинский,Зима,NEGATIVE,Чистота,1
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Номер,6
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Расположение,3
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Сервис,5
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Удобства,4
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Цена,2
Marins Нижний Новгород,Канавинский,Зима,POSITIVE,Чистота,3
Marins Нижний Новгород,Канавинский,Лето,NEGATIVE,Номер,2
Marins Нижний Новгород,Канавинский,Лето,NEGATIVE,Чистота,2
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Номер,9
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Расположение,4
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Сервис,3
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Удобства,6
Marins Нижний Новгород,Канавинский,Лето,NEUTRAL,Чистота,2
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Номер,5
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Расположение,3
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Сервис,4
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Удобства,3
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Цена,1
Marins Нижний Новгород,Канавинский,Лето,POSITIVE,Чистота,2
Marins Нижний Новгород,Канавинский,Осень,NEGATIVE,Номер,2
Marins Нижний Новгород,Канавинский,Осень,NEGATIVE,Расположение,1
Marins Нижний Новгород,Канавинский,Осень,NEGATIVE,Удобства,1
Marins Нижний Новгород,Канавинский,Осень,NEGATIVE,Чистота,1
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Номер,6
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Расположение,3
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Сервис,2
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Удобства,1
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Цена,2
Marins Нижний Новгород,Канавинский,Осень,NEUTRAL,Чистота,1
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Номер,7
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Расположение,5
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Сервис,5
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Удобства,6
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Цена,1
Marins Нижний Новгород,Канавинский,Осень,POSITIVE,Чистота,2
SunLight,Нижегородский,Лето,NEUTRAL,Номер,2
SunLight,Нижегородский,Лето,POSITIVE,Номер,4
SunLight,Нижегородский,Лето,POSITIVE,Расположение,1
SunLight,Нижегородский,Лето,POSITIVE,Сервис,2
SunLight,Нижегородский,Лето,POSITIVE,Цена,2
SunLight,Нижегородский,Лето,POSITIVE,Чистота,1
SunLight,Нижегородский,Осень,NEGATIVE,Номер,1
SunLight,Нижегородский,Осень,NEUTRAL,Номер,2
SunLight,Нижегородский,Осень,NEUTRAL,Расположение,1
